RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
583 Urban "Very good" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
584 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
585 Tribal "Very good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
586 Tribal "Very bad" Never "Did not vote for some other reason" "Increased somewhat" "Some primary schooling" 
587 Tribal "Very good" Occasionally "You decided not to vote" "Decreased somewhat" "Secondary school / high school completed" 
588 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
589 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
590 Tribal "Very good" Never "You voted in the elections" "Stayed the same" "Some primary schooling" 
591 Tribal "Fairly Good" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
592 Tribal "Very good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
593 Tribal "Fairly Good" Frequently "You were not registered to vote" "Increased a lot" "Some primary schooling" 
594 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
595 Tribal "Fairly Good" Occasionally "Don't Know / Can't remember" "Increased a lot" "Some secondary school / high school" 
596 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
597 Tribal "Fairly Good" Never "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
598 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
599 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
600 Tribal "Fairly Good" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
601 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
602 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
603 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
604 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
605 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
606 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Inside the house"       
607 Urban "Very bad" Never "You did not have time to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
608 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
609 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Stayed the same" "University completed" 
610 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
611 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
612 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
613 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
614 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
615 Urban "Very bad" Never "You were not registered to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
616 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" Post-graduate 
617 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
618 Urban "Fairly Good" Never "You were too young to vote" "Stayed the same" "Secondary school / high school completed" 
619 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
620 Urban "Very bad" Occasionally "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
621 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
622 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some primary schooling" 
623 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
624 Urban "Fairly Good" Never "You did not vote because your name not in the register" "Decreased a lot" "Secondary school / high school completed" 
625 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
626 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
627 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
628 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
629 Urban "Neither good nor bad" Occasionally "You decided not to vote" "Decreased somewhat" "Secondary school / high school completed" 
630 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
631 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
632 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
633 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
634 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
635 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
636 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
637 "Rural farm" "Very bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
638 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
639 "Rural farm" "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
640 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
641 Urban "Neither good nor bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
642 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "University completed" 
643 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
644 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
645 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
646 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
647 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
648 Urban "Very bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
649 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Inside the house"       
650 Urban "Very bad" Never "You were not registered to vote" "Increased a lot" "Some university" 
651 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
652 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
653 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
654 Urban "Very bad" "Don't know" "You voted in the elections" "Increased a lot" "University completed" 
655 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
656 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
657 Urban "Very bad" Occasionally "You did not have time to vote" "Increased somewhat" "University completed" 
658 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "University completed" 
659 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
660 Urban "Fairly bad" Never "You decided not to vote" "Stayed the same" "University completed" 
661 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
662 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
663 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
664 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
665 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Inside the house"       
666 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
667 Urban "Fairly bad" Occasionally "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
668 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
669 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
670 Urban "Neither good nor bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
671 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
672 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
673 Urban "Neither good nor bad" Occasionally "You were too young to vote" "Increased a lot" "Inside the house"       
674 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
675 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Inside the house"       
676 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
677 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Inside the house"       
678 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
679 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
680 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
681 Urban "Very bad" Never "You decided not to vote" "Increased somewhat" "Post-secondary qualifications, other than university" 
682 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
683 Urban "Fairly bad" Occasionally "You decided not to vote" "Stayed the same" "Post-secondary qualifications, other than university" 
684 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
685 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
686 Tribal "Fairly bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
687 Tribal "Fairly bad" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
688 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
689 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
690 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
691 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
692 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "University completed" 
693 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
694 Tribal "Very bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
695 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Primary school completed" 
696 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
697 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
698 "Rural farm" "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
699 "Rural farm" "Very bad" Never "You voted in the elections" "Increased a lot" "No formal schooling" 
700 Tribal "Fairly Good" Occasionally "You decided not to vote" "Increased a lot" "Primary school completed" 
701 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Don't know" "Some secondary school / high school" 
702 Tribal "Neither good nor bad" Occasionally "You were prevented from voting" "Increased a lot" "Some secondary school / high school" 
703 Tribal "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
704 Tribal "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
705 Tribal "Fairly bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
706 Tribal "Fairly bad" Frequently "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
707 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
708 Tribal "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
709 Tribal "Neither good nor bad" Frequently "You voted in the elections" "Increased a lot" "University completed" 
710 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
711 Tribal "Neither good nor bad" Occasionally "You voted in the elections" "Don't know" "Some primary schooling" 
712 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
713 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
714 Urban "Very good" Frequently "You voted in the elections" "Stayed the same" "University completed" 
715 Urban "Fairly bad" Frequently "You decided not to vote" "Increased a lot" "Some university" 
716 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
717 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
718 Tribal "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
719 Tribal "Don't know" Occasionally "Did not vote for some other reason" "Increased a lot" "Some primary schooling" 
720 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
721 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Some university" 
722 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
723 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
724 "Rural farm" "Very good" Occasionally "You did not vote because your name not in the register" "Increased somewhat" "Some primary schooling" 
725 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Don't know" "Primary school completed" 
726 "Rural farm" "Fairly Good" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
727 "Rural farm" "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
728 "Rural farm" "Very good" Occasionally "You voted in the elections" "Increased somewhat" "Primary school completed" 
729 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Inside the house"       
730 "Rural farm" "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Some primary schooling" 
731 "Rural farm" "Fairly bad" Occasionally "You decided not to vote" "Increased somewhat" "Some primary schooling" 
732 Urban "Fairly Good" Occasionally "You voted in the elections" "Don't know" "Some primary schooling" 
733 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
734 Urban "Very good" Occasionally "You did not have time to vote" "Stayed the same" "Some secondary school / high school" 
735 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
736 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
737 Urban "Very bad" Occasionally "You decided not to vote" "Stayed the same" "Some secondary school / high school" 
738 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
739 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased somewhat" "Secondary school / high school completed" 
740 Urban "Very bad" Occasionally "You decided not to vote" "Stayed the same" "Post-secondary qualifications, other than university" 
741 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
742 Urban "Very bad" Never "You decided not to vote" "Increased somewhat" "Some primary schooling" 
743 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
744 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
745 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
746 Urban "Fairly Good" Occasionally "You decided not to vote" "Increased somewhat" "Some secondary school / high school" 
747 Urban "Very bad" Occasionally "You were not registered to vote" "Stayed the same" "Post-secondary qualifications, other than university" 
748 Urban "Neither good nor bad" Occasionally "You could not find the polling station" "Stayed the same" "Some primary schooling" 
749 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
750 Urban "Very good" Occasionally "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
751 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
752 "Rural farm" "Neither good nor bad" Occasionally "You decided not to vote" "Stayed the same" "Some primary schooling" 
753 "Rural farm" "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Some primary schooling" 
754 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
755 "Rural farm" "Very bad" Frequently "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
756 Urban "Fairly bad" Never "You voted in the elections" "Decreased somewhat" "Secondary school / high school completed" 
757 Urban "Fairly bad" Never "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
758 Urban "Very bad" Frequently "You could not find the polling station" "Increased a lot" "Primary school completed" 
759 Urban "Neither good nor bad" Frequently "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
760 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
761 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "University completed" 
762 Urban "Very good" Never "You decided not to vote" "Decreased somewhat" Post-graduate 
763 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
764 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
765 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
766 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
767 Urban "Fairly bad" Never "You were prevented from voting" "Stayed the same" "Post-secondary qualifications, other than university" 
768 Urban "Fairly Good" Occasionally "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
769 Urban "Very bad" Never "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
770 Urban "Very bad" Never "You could not find the polling station" "Increased somewhat" "Some secondary school / high school" 
771 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Inside the house"       
772 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
773 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
774 Urban "Fairly bad" Never "You decided not to vote" "Decreased somewhat" "University completed" 
775 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
776 Urban "Very good" Occasionally "You could not find the polling station" "Stayed the same" "Some primary schooling" 
777 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
778 Urban "Neither good nor bad" Never "Don't Know / Can't remember" "Don't know" "Secondary school / high school completed" 
779 Urban "Very bad" Never "You voted in the elections" "Increased somewhat" "Inside the house"       
780 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
781 Urban "Fairly bad" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
782 Urban "Don't know" Never "You were prevented from voting" "Increased somewhat" "Some secondary school / high school" 
783 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
784 Urban "Fairly Good" Never "You did not vote because your name not in the register" "Stayed the same" "Secondary school / high school completed" 
785 Urban "Fairly bad" Never "You decided not to vote" "Don't know" "Secondary school / high school completed" 
786 Urban "Very good" Never "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
787 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
788 Urban "Fairly Good" Occasionally "You were not registered to vote" "Don't know" "Some secondary school / high school" 
789 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
790 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
791 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Inside the house"       
792 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
793 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
794 Urban "Very bad" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
795 Urban "Very bad" Occasionally "You were not registered to vote" "Increased a lot" "Some secondary school / high school" 
796 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
797 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
798 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
799 Urban "Fairly Good" Never "You voted in the elections" "Stayed the same" "Secondary school / high school completed" 
800 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Primary school completed" 
801 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
802 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
803 Urban "Very bad" Occasionally "You decided not to vote" "Don't know" "Some secondary school / high school" 
804 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
805 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
806 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
807 Urban "Fairly Good" Frequently "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
808 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
809 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
810 Urban "Neither good nor bad" Frequently "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
811 Urban "Very bad" Never "You were too young to vote" "Increased a lot" "Some secondary school / high school" 
812 "Rural farm" "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
813 "Rural farm" "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
814 "Rural farm" "Very bad" Frequently "You voted in the elections" "Stayed the same" "Primary school completed" 
815 "Rural farm" "Very bad" Frequently "You were not registered to vote" "Increased somewhat" "Some secondary school / high school" 
816 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
817 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
818 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some university" 
819 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" Post-graduate 
820 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
821 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
822 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
823 Urban "Fairly bad" Frequently "You voted in the elections" "Increased somewhat" Post-graduate 
824 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
825 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
826 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "University completed" 
827 Urban "Very bad" Frequently "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
828 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
829 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
830 Urban "Neither good nor bad" Never "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
831 Urban "Very bad" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
832 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
833 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
834 Tribal "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "No formal schooling" 
835 Tribal "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
836 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
837 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
838 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
839 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
840 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
841 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
842 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
843 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
844 Urban "Very bad" Frequently "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
845 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
846 Urban "Fairly Good" Never "Did not vote for some other reason" "Increased somewhat" "Some secondary school / high school" 
847 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
848 Tribal "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
849 Tribal "Fairly bad" Occasionally "Did not vote for some other reason" "Increased somewhat" "Some secondary school / high school" 
850 Tribal "Fairly Good" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
851 Tribal "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
852 Urban "Fairly bad" Occasionally "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
853 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
854 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
855 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
856 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
857 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
858 Urban "Fairly bad" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
859 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Some primary schooling" 
860 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
861 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
862 Urban "Neither good nor bad" Never "Did not vote for some other reason" "Increased somewhat" "Secondary school / high school completed" 
863 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
864 Urban "Fairly Good" Occasionally "You voted in the elections" "Don't know" "Some secondary school / high school" 
865 Urban "Fairly Good" Occasionally "You voted in the elections" "Decreased somewhat" "Some secondary school / high school" 
866 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
867 Urban "Fairly bad" Never "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
868 "Rural farm" "Neither good nor bad" Never "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
869 "Rural farm" "Fairly Good" Never "Did not vote for some other reason" "Increased a lot" "Some secondary school / high school" 
870 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
871 "Rural farm" "Fairly Good" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
872 Urban "Neither good nor bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
873 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
874 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
875 Urban "Fairly Good" Occasionally "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
876 Tribal "Neither good nor bad" Never "You voted in the elections" "Decreased a lot" "Primary school completed" 
